time,price,quantity,direction
2026-07-13T18:42:10.513977+00:00,94.3,8,1
2026-07-13T18:42:12.878033+00:00,94.3,44,1
2026-07-13T18:42:12.878577+00:00,94.3,32,1
2026-07-13T18:42:12.879012+00:00,94.3,19,1
2026-07-13T18:42:12.879687+00:00,94.3,5,1
2026-07-13T18:42:13.287030+00:00,94.3,14,1
2026-07-13T18:42:14.326026+00:00,94.3,100,1
2026-07-13T18:42:15.089925+00:00,94.3,74,1
2026-07-13T18:42:15.609729+00:00,94.3,100,1
2026-07-13T18:42:20.034612+00:00,94.29,64,2
2026-07-13T18:42:20.035633+00:00,94.29,242,2
2026-07-13T18:42:20.039286+00:00,94.29,158,2
2026-07-13T18:42:20.040506+00:00,94.29,70,2
2026-07-13T18:42:20.040937+00:00,94.29,100,2
2026-07-13T18:42:20.041810+00:00,94.29,146,2
2026-07-13T18:42:20.043418+00:00,94.29,54,2
2026-07-13T18:42:20.044222+00:00,94.28,166,2
2026-07-13T18:42:20.240438+00:00,94.3,23,1
2026-07-13T18:42:20.241107+00:00,94.3,77,1
2026-07-13T18:42:21.679228+00:00,94.29,70,2
2026-07-13T18:42:21.680191+00:00,94.29,32,2
2026-07-13T18:42:21.685144+00:00,94.29,88,2
2026-07-13T18:42:30.609758+00:00,94.3,100,1
2026-07-13T18:42:33.586911+00:00,94.3,1,2
2026-07-13T18:42:43.699514+00:00,94.31,5,1
2026-07-13T18:42:59.073022+00:00,94.31,48,1
2026-07-13T18:42:59.171837+00:00,94.31,5,1
2026-07-13T18:43:04.858974+00:00,94.31,1,1
2026-07-13T18:43:05.090298+00:00,94.31,10,1
2026-07-13T18:43:10.916752+00:00,94.31,1,1
2026-07-13T18:43:13.166207+00:00,94.31,30,1
2026-07-13T18:43:13.166977+00:00,94.32,71,1
2026-07-13T18:43:13.167336+00:00,94.33,56,1
2026-07-13T18:43:13.167758+00:00,94.33,147,1
2026-07-13T18:43:13.168291+00:00,94.34,52,1
2026-07-13T18:43:13.168680+00:00,94.34,44,1
2026-07-13T18:43:14.719130+00:00,94.33,1,1
2026-07-13T18:43:17.937060+00:00,94.32,2,2
2026-07-13T18:43:18.571073+00:00,94.32,1,2
2026-07-13T18:43:19.978734+00:00,94.32,10,2
2026-07-13T18:43:20.199924+00:00,94.33,59,1
2026-07-13T18:43:20.200497+00:00,94.33,31,1
2026-07-13T18:43:20.439929+00:00,94.32,240,2
2026-07-13T18:43:20.442655+00:00,94.32,157,2
2026-07-13T18:43:20.442957+00:00,94.3,8,2
2026-07-13T18:43:20.443342+00:00,94.29,47,2
2026-07-13T18:43:20.443712+00:00,94.29,45,2
2026-07-13T18:43:23.508975+00:00,94.29,3,2
2026-07-13T18:43:35.612217+00:00,94.3,1,1
2026-07-13T18:43:39.893175+00:00,94.3,3,1
