score_cut,breadth_cut,spread_cut,hold_min,tp_bp,sl_bp,pre_trades,commission_bp,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_net,pre_mean,robust_day_10bp,robust_ticker_10bp
1.3,0.6,1.5,60.0,20.0,35.0,96,4,-234.02574679147034,-101.37232242397943,-95.17682403186012,-39.40868585952808,-188.29519259803305,0,5,-658.2787717048709,-6.857070538592406,-1303.1136244123866,-1253.2031045970311
1.3,0.6,1.5,60.0,20.0,35.0,96,6,-270.02574679147034,-135.37232242397943,-161.17682403186012,-57.40868585952808,-226.29519259803305,0,5,-850.2787717048709,-8.857070538592405,-1303.1136244123866,-1253.2031045970311
1.3,0.6,1.5,60.0,20.0,35.0,96,8,-306.02574679147034,-169.37232242397943,-227.17682403186012,-75.40868585952808,-264.29519259803305,0,5,-1042.278771704871,-10.857070538592405,-1303.1136244123866,-1253.2031045970311
1.3,0.6,1.5,60.0,20.0,35.0,96,10,-342.02574679147034,-203.37232242397943,-293.1768240318601,-93.40868585952808,-302.29519259803305,0,5,-1234.278771704871,-12.857070538592405,-1303.1136244123866,-1253.2031045970311
1.3,0.6,1.5,60.0,20.0,35.0,96,12,-378.02574679147034,-237.37232242397943,-359.1768240318601,-111.40868585952808,-340.29519259803305,0,5,-1426.278771704871,-14.857070538592405,-1303.1136244123866,-1253.2031045970311
1.3,0.6,1.5,60.0,20.0,50.0,96,0,-116.71265672462602,-13.822340684907289,134.57883376529173,-17.7676855315908,-64.93230456082196,1,5,-78.65615373665423,-0.819334934756815,-1107.49100644417,-1108.945069328221
1.3,0.6,1.5,60.0,20.0,50.0,96,2,-152.71265672462602,-47.82234068490729,68.57883376529173,-35.7676855315908,-102.93230456082196,1,5,-270.65615373665423,-2.819334934756815,-1107.49100644417,-1108.945069328221
1.3,0.6,1.5,60.0,20.0,50.0,96,4,-188.71265672462602,-81.82234068490729,2.5788337652917335,-53.7676855315908,-140.93230456082196,1,5,-462.65615373665423,-4.819334934756815,-1107.49100644417,-1108.945069328221
1.3,0.6,1.5,60.0,20.0,50.0,96,6,-224.71265672462602,-115.82234068490729,-63.42116623470827,-71.7676855315908,-178.93230456082196,0,5,-654.6561537366542,-6.819334934756815,-1107.49100644417,-1108.945069328221
1.3,0.6,1.5,60.0,20.0,50.0,96,8,-260.712656724626,-149.8223406849073,-129.42116623470827,-89.7676855315908,-216.93230456082196,0,5,-846.6561537366542,-8.819334934756816,-1107.49100644417,-1108.945069328221
