mode,horizon,train_candidates,val_candidates,fwd_candidates,train_auc,train_pr_auc,val_auc,val_pr_auc,prob_cut,val_pass,val_trades,val_net_bp,val_mean_bp,val_median_bp,val_wr,val_pos_days,val_days,val_without_best_day,val_without_best_ticker,fwd_trades,fwd_net_bp,fwd_mean_bp,fwd_median_bp,fwd_wr,fwd_pos_days,fwd_days,fwd_without_best_day,fwd_without_best_ticker
MR,60,7033,2196,753,0.7910298719599859,0.7468040973331196,0.47949928996124647,0.49628061481597346,0.75,False,10,308.3592224121094,30.835922241210938,77.57239532470703,70.0,1,2,-452.7229309082031,90.8331298828125,0,,,,,0,0,,
MOM,60,7033,2196,753,0.7881190444634749,0.7185219698756014,0.4659740706075054,0.3100661011035737,0.8,False,3,-144.13351440429688,-48.04450607299805,-32.455787658691406,0.0,0,3,-143.35263061523438,-143.35263061523438,0,,,,,0,0,,
MR,90,6995,2193,752,0.785921042802719,0.766112751589386,0.46635457726500534,0.46304163535374415,0.8,False,1,-161.19912719726562,-161.19912719726562,-161.19912719726562,0.0,0,1,0.0,0.0,0,,,,,0,0,,
MOM,90,6995,2193,752,0.7936218330591944,0.7112923738356004,0.4712831383066929,0.32918676068442787,0.75,False,4,-122.22662353515625,-30.556655883789062,-29.514589309692383,0.0,0,2,-100.88882446289062,-100.88882446289062,2,73.40652465820312,36.70326232910156,36.70326232910156,100.0,2,2,7.50799560546875,7.50799560546875
MR,120,6978,2187,751,0.78349624310127,0.7686866734916685,0.46579027942999696,0.4769180930636856,0.75,False,7,44.82276916503906,6.403252601623535,0.008204460144042969,57.14285714285714,3,4,2.0569801330566406,2.0569801330566406,2,129.35653686523438,64.67826843261719,64.67826843261719,50.0,1,2,-18.837844848632812,-18.837844848632812
MOM,120,6978,2187,751,0.7938100130098322,0.7087715972528087,0.47838134430727025,0.3635541930204486,0.75,False,2,-45.069515228271484,-22.534757614135742,-22.534757614135742,50.0,0,1,0.0,-47.73877716064453,1,10.905608177185059,10.905608177185059,10.905608177185059,100.0,1,1,0.0,0.0
