horizon,quantile,cutoff,val_mae,val_rank_corr,val_trades,val_net,val_mean,val_wr,val_pos_days,val_days,val_without_best_day,val_without_best_ticker,fwd_trades,fwd_net,fwd_mean,fwd_wr,fwd_pos_days,fwd_days,fwd_without_best_day,fwd_without_best_ticker
60,0.8,-0.8865721887612609,60.01901035031752,0.029061153978618803,137,-2205.839928361129,-16.10102137489875,51.82481751824818,1,5,-2343.468910984399,-2403.490639177317,57,-83.64815432148126,-1.4675114793242325,43.859649122807014,2,4,-240.36529393925363,-367.74469619574927
60,0.9,0.7239694052413411,60.01901035031752,0.029061153978618803,93,-1321.6652879163842,-14.211454708778325,52.68817204301075,1,5,-1808.4138001602873,-1893.763094679754,38,102.6235399004196,2.7006194710636735,52.63157894736842,1,4,-257.6671102122052,-43.742247403301874
60,0.95,2.046724909463106,60.01901035031752,0.029061153978618803,56,-14.906325267739675,-0.2661843797810656,57.14285714285714,2,5,-252.54191218290097,-457.8673586906515,28,85.10927253993509,3.0396168764262534,53.57142857142857,1,4,-221.71848134872147,-32.570872414859
90,0.8,3.8432990503801214,63.03887628547244,-0.023134261701631652,121,-2554.411780980801,-21.110841165130584,42.97520661157025,1,5,-2920.360351607418,-2720.997168674564,66,-213.13827165862028,-3.2293677524033377,46.96969696969697,2,4,-528.6061179958837,-396.59860453131733
90,0.9,5.606749558861842,63.03887628547244,-0.023134261701631652,92,-1667.5954261995491,-18.126037241299446,43.47826086956522,2,5,-1965.9063273171414,-1834.180813893312,50,-160.77142335735147,-3.2154284671470292,44.0,2,4,-464.79305919481584,-315.32032396482765
90,0.95,6.524937243508433,63.03887628547244,-0.023134261701631652,67,-871.2592255490357,-13.003869038045309,47.76119402985074,2,5,-1121.4724094241699,-948.2192903426037,37,21.418752293400235,0.5788851971189253,45.94594594594595,2,4,-395.54627944048576,-133.13014831407594
120,0.8,4.998394152420161,69.69080989732315,-0.03860388519834999,102,-2018.7843842306872,-19.79200376696752,48.03921568627451,1,5,-2131.419846026403,-2138.5843779336265,55,-476.3982624904953,-8.661786590736279,40.0,2,4,-786.4294752237656,-657.4820956859533
120,0.9,7.277794210431294,69.69080989732315,-0.03860388519834999,78,-1448.7597126759924,-18.57384247020503,47.43589743589743,2,5,-1576.298739064512,-1573.202309787121,43,-89.77284836873673,-2.0877406597380634,44.18604651162791,2,4,-466.25211201009796,-296.1680776596156
120,0.95,9.01117257857138,69.69080989732315,-0.03860388519834999,59,-155.82954778718056,-2.641178776053908,54.23728813559322,3,5,-651.1212344784437,-291.0977699502797,33,-201.2521938245758,-6.098551328017449,39.39393939393939,2,4,-580.0283669627809,-319.09856577911853
