flip_threshold,W0_trades,W0_net,W1_trades,W1_net,W2_trades,W2_net,W3_trades,W3_net,W4_trades,W4_net,positive_windows,usable_windows,pre_trades,pre_net,pre_mean,pre_wr,pre_pos_days,pre_days,pre_no_best_day,pre_no_best_ticker,sep_trades,sep_net,sep_mean,sep_wr,sep_pos_days,sep_days,sep_no_best_day,sep_no_best_ticker,fresh_trades,fresh_net,fresh_mean,fresh_pos_days,fresh_days
0.4,28,297.5395950122072,22,-168.50343320815847,37,73.39869392232461,13,249.6659319659629,31,354.4279417675235,4,5,131,806.5287294598596,6.156707858472211,56.48854961832062,16,24,470.47765359703686,395.65892727571304,10,-309.4633681661403,-30.94633681661403,40.0,2,4,-336.4440827638773,-336.4440827638773,10,-97.16339611387136,-9.716339611387136,0,2
0.425,28,61.64195630889441,22,-246.48238144840818,37,-615.3615016728747,13,134.90334436246678,31,684.7951265409588,3,5,131,19.49654409103698,0.14882858084761055,49.61832061068702,11,24,-391.3316151773196,-286.6675170196526,10,-338.15210263478514,-33.81521026347851,40.0,1,4,-362.1663136007907,-355.5352938726542,10,-97.16339611387136,-9.716339611387136,0,2
0.45,28,86.29551272071808,21,337.5501068884823,37,-608.9077817079065,13,-184.40722827882095,31,743.2874302643593,3,5,130,373.81803988683214,2.875523383744863,50.76923076923077,13,24,-10.102335196500349,86.12026958927515,10,-224.6730258083371,-22.46730258083371,40.0,1,4,-231.8867124558414,-282.3435856179134,10,131.42935201553922,13.142935201553922,1,2
0.475,28,92.51799216216591,21,141.7820424556561,36,-347.74589585874946,13,-339.38965221053775,31,313.23249784892005,3,5,129,-139.60301560254499,-1.0821939193995735,47.286821705426355,13,24,-510.7719727518961,-560.6742661823024,10,-272.0591172475448,-27.20591172475448,30.0,1,4,-279.27280389504915,-329.72967705712114,10,-155.13952300286536,-15.513952300286537,1,2
0.5,28,-25.032903396457378,21,141.7820424556561,36,-481.00226432337405,13,-338.85301116611106,31,313.23249784892005,2,5,129,-389.87363858136615,-3.0222762680726056,45.73643410852713,13,24,-761.0425957307173,-677.6885206964989,10,-272.0591172475448,-27.20591172475448,30.0,1,4,-279.27280389504915,-329.72967705712114,10,-155.13952300286536,-15.513952300286537,1,2
