strategy,horizon,threshold,breadth,direction,top_n,W1_trades,W1_net,W1_mean,W2_trades,W2_net,W2_mean,W3_trades,W3_net,W3_mean,pre_trades,pre_net,pre_mean,pre_median,pre_wr,pre_windows,pre_positive_windows,pre_without_best_day,pre_without_best_ticker,fwd_trades,fwd_net,fwd_mean,fwd_median,fwd_wr,fwd_days,fwd_positive_days,fwd_without_best_day,fwd_without_best_ticker
MR,120,1.3,ALL,LONG,999,217,-11304.557622392898,-52.09473558706405,233,862.2640485931614,3.700704071215285,253,1860.0558122051348,7.3519992577278055,703,-8582.237761594602,-12.20801957552575,-6.665522154224238,45.66145092460882,3,2,-10866.363353323923,-8911.834021365967,89,-970.7564318206975,-10.907375638434804,-10.916617702784741,48.31460674157304,4,1,-1219.674882577695,-1124.5155506078922
MR,120,1.5,ALL,LONG,1,150,-7952.732120934011,-53.01821413956007,141,1196.839288215248,8.488221902235802,148,1480.4442171732844,10.003001467387056,439,-5275.448615545478,-12.016967233588788,-11.873740646950544,42.8246013667426,3,2,-7044.816703968772,-5548.1270861323355,52,-458.5541962437885,-8.818349927765164,4.400467839380278,51.92307692307693,4,1,-524.2383016751689,-612.3133150309832
MOMENTUM,120,1.3,NO_BROAD_070,LONG,1,60,-2262.490769710109,-37.70817949516848,50,-1276.9831223339474,-25.53966244667895,58,829.3644777834992,14.299387547991365,168,-2710.1094142605575,-16.13160365631284,-23.032728997795832,40.476190476190474,3,1,-3600.6828278708376,-3585.9094255926466,24,-66.64957363701694,-2.7770655682090393,-13.826389078572856,41.66666666666667,4,1,-344.91947431024255,-281.0672305816171
MOMENTUM,120,1.3,NO_BROAD_070,LONG,3,69,-2636.999092278156,-38.21737814895878,53,-1753.4333652280598,-33.08364840052943,60,781.8069937809254,13.030116563015422,182,-3608.6254637252914,-19.82761243805105,-23.898380859704414,37.91208791208791,3,1,-4489.873928495622,-4381.183608252521,27,89.04614158785986,3.29800524399481,-17.636380713103854,40.74074074074074,4,1,-381.39815086161775,-125.3715153567403
MOMENTUM,120,1.3,NO_BROAD_070,LONG,999,71,-2710.9391968840564,-38.182242209634595,53,-1753.4333652280598,-33.08364840052943,60,781.8069937809254,13.030116563015422,184,-3682.5655683311916,-20.01394330614778,-24.70536334901013,37.5,3,1,-4563.814033101522,-4455.123712858421,27,89.04614158785986,3.29800524399481,-17.636380713103854,40.74074074074074,4,1,-381.39815086161775,-125.3715153567403
MOMENTUM,120,1.5,NO_BROAD_070,LONG,1,48,-1647.8698072608543,-34.33062098460113,37,-1101.4890128871405,-29.769973321274065,32,500.9745272872483,15.65545397772651,117,-2248.384292860747,-19.21695976804057,-26.441677575091198,38.46153846153847,3,1,-2735.7511739526144,-2799.8170784373456,16,118.08768086697273,7.380480054185796,-0.7098316418939632,50.0,4,1,-281.78838924087296,-96.32997607762744
MR,120,1.3,NO_BROAD_070,LONG,999,87,-3691.9016007549685,-42.43565058339044,52,1112.4394459627438,21.393066268514303,67,805.211948141921,12.018088778237626,206,-1774.250206650304,-8.612865080826719,-6.355951362450147,45.63106796116505,3,2,-2670.510008173047,-2166.0397544951084,25,56.0457413533543,2.2418296541341722,3.3575619815914344,52.0,4,2,-86.90564738732915,-88.55075798713038
MR,120,1.3,NO_BROAD_070,LONG,3,87,-3691.901600754969,-42.43565058339045,52,1112.439445962744,21.393066268514307,67,805.211948141921,12.018088778237626,206,-1774.2502066503039,-8.612865080826717,-6.355951362450147,45.63106796116505,3,2,-2670.510008173047,-2166.039754495108,25,56.04574135335433,2.241829654134173,3.3575619815914344,52.0,4,2,-86.90564738732913,-88.55075798713035
MR,120,1.5,NO_BROAD_060,LONG,1,30,-498.35238416360465,-16.61174613878682,12,459.9505236068517,38.32921030057097,25,392.3170799004085,15.69268319601634,67,353.9152193436556,5.282316706621725,2.7321158547104503,56.71641791044776,3,2,-321.53828100986107,45.84731140850596,7,-97.25909688737727,-13.894156698196753,3.9026715206571367,57.14285714285714,4,2,-120.23981148511427,-120.23981148511427
MR,120,1.3,NO_BROAD_070,LONG,1,77,-3667.087300837774,-47.62451040049057,49,843.9231258854657,17.222920936438076,67,725.0742201642754,10.822003286033961,193,-2098.0899547880335,-10.870932408228153,-6.601285827416831,45.07772020725388,3,2,-2786.25282288192,-2489.8795026328376,25,56.04574135335433,2.241829654134173,3.3575619815914344,52.0,4,2,-86.90564738732913,-88.55075798713035
