share_min,market_ret5_min,start_hour,score_max,W0_net,W1_net,W2_net,W3_net,W4_net,positive_windows,usable_windows,pre_trades,pre_net,pre_mean,pre_wr,pre_days,pre_pos_days,pre_no_best_day,pre_no_best_ticker,sep_trades,sep_net,sep_mean,sep_days,sep_pos_days,sep_no_best_day,fresh_trades,fresh_net,fresh_mean
0.4,-0.003,10,1.7,212.93505471200223,-45.89814230545145,61.07386409390597,41.87402968792855,320.1004655624349,4,5,37,590.0852717508201,15.948250587860002,64.86486486486487,19,13,395.07249716334843,384.6476467209584,6,-137.15341414813724,-22.858902358022874,3,2,-161.1676251141406,0,,
0.4,-0.003,10,1.9,383.49687549766696,-58.53083192000594,44.018146046162144,129.52189791999055,320.9876369280419,4,5,60,819.4937244718557,13.658228741197595,63.33333333333333,23,15,535.5345232530606,621.909013120651,7,-200.41386806252495,-28.630552580360707,3,1,-224.42807902852832,0,,
0.4,-0.003,10,2.2,478.39169432577177,-69.2787409371962,7.420638570948967,123.03240769923497,279.60799562539444,4,5,82,819.1739952841539,9.989926771757974,59.756097560975604,23,13,532.5994880381766,570.0488770001251,10,-309.46336816613916,-30.946336816613915,4,2,-336.44408276387617,0,,
0.4,-0.003,10,99.0,297.5395950122072,-168.5034332081584,73.39869392232458,249.6659319659629,354.4279417675213,4,5,131,806.5287294598573,6.156707858472194,56.48854961832062,24,16,470.4776535970346,395.65892727571077,10,-309.46336816613916,-30.946336816613915,4,2,-336.44408276387617,0,,
0.4,-0.003,12,1.7,118.8157338855265,-45.89814230545145,20.031620058902007,-11.440191101025256,401.197819019046,3,5,28,482.70683955699775,17.239529984178493,64.28571428571429,16,10,206.59671151291496,277.26921452713606,5,-145.05608566879437,-29.011217133758873,3,2,-161.1676251141406,0,,
0.4,-0.003,12,1.9,172.28765735671942,-120.66273134458271,63.30612692095852,17.917586111613097,402.08499038465305,4,5,46,534.9336294293613,11.62899194411655,60.86956521739131,20,12,180.10726786617397,346.34987515067223,6,-208.3165395831821,-34.71942326386368,3,1,-224.42807902852834,0,,
0.4,-0.003,12,2.2,275.06970274320264,-65.19119915104054,56.55108291530357,11.42809589085752,458.56165207917405,4,5,59,736.419334477497,12.481683635211814,61.016949152542374,20,11,309.1987098585614,487.2942161934683,9,-317.3660396867963,-35.26289329853292,4,2,-344.3467542845333,0,,
0.4,-0.003,12,99.0,223.120841878628,-220.39367521224924,386.49448350389855,18.812374112933405,543.4257136428109,4,5,97,951.4597379260217,9.808863277587852,58.76288659793815,23,15,547.9929903014317,645.2537813927852,9,-317.3660396867963,-35.26289329853292,4,2,-344.3467542845333,0,,
0.4,-0.003,13,1.7,118.8157338855265,21.580258520551233,20.031620058902007,-11.440191101025256,460.1116961950214,4,5,26,609.0991175589759,23.426889136883688,69.23076923076923,16,10,332.9889895148931,403.6614925291142,4,-84.00292679512083,-21.000731698780207,3,2,-100.11446624046707,0,,
0.4,-0.003,13,1.9,186.22438810627915,14.121441500750215,9.0252931522963,78.9383124552242,460.9988675606284,5,5,39,749.308302775178,19.213033404491746,66.66666666666666,19,11,394.4819412119907,543.8706777453164,5,-147.26338070950857,-29.452676141901712,3,1,-163.3749201548548,0,,
0.4,-0.003,13,2.2,289.00643349276237,69.59297369429234,2.270249146641362,72.44882223446865,517.4755292551495,5,5,52,950.794007823314,18.284500150448345,65.38461538461539,20,12,523.5733832043784,701.6688895392853,7,-193.2386525380177,-27.605521791145385,4,2,-220.2193671357547,0,,
0.4,-0.003,13,99.0,310.7725233037721,40.44964948753556,181.13282043185498,72.44882223446865,602.3395908187863,5,5,82,1207.1434062764176,14.721261052151435,62.19512195121951,23,14,803.6766586518277,944.5972879777785,7,-193.2386525380177,-27.605521791145385,4,2,-220.2193671357547,0,,
0.4,-0.003,14,1.7,134.68603479559334,33.688029146630264,20.031620058902007,-11.440191101025256,460.1116961950214,4,5,22,637.0771890951216,28.958054049778255,72.72727272727273,12,8,360.96706105103885,444.316354750061,4,-84.00292679512083,-21.000731698780207,3,2,-100.11446624046707,0,,
