strategy,days,trades,gross_mean,cost_mean,net_mean,net_median,winsor,net_sum,hit,positive_days,positive_day_share,median_daily_net,drop_best_1_day,drop_best_2_days,drop_best_3_days,robust_score
NO_BROAD_TREND,11,514,5.527324238639861,2.927431344985962,2.5998927153038145,5.141765236854553,4.0634548976263645,1336.3448556661606,0.5486381322957199,9,0.8181818181818182,3.773477931817373,1.0537645645407647,-0.20503960492519233,-1.5447415609580244,2.770057326842333
NO_FLOW_CONFIRM,11,987,4.599540725908985,2.7774758338928223,1.8220648816291323,5.1869895458221436,2.6580926483042213,1798.3780381679535,0.5491388044579534,7,0.6363636363636364,2.872255759474672,1.0013524727039398,0.11106717661870867,-0.9263127584633003,2.1581774406394874
IDIOSYNCRATIC,11,1629,5.354199628437715,2.8721601963043213,2.48203961830186,5.290347576141357,3.347529882810975,4043.24253821373,0.5598526703499079,5,0.45454545454545453,-0.543087150426519,1.096788166625254,-0.27033294915614764,-1.4535582666629112,1.2676602046427101
BASE,11,1809,4.888154831164578,2.871546506881714,2.0166085519600863,6.161080360412598,2.824016738399212,3648.044870495796,0.5638474295190713,5,0.45454545454545453,-0.3342066433992279,0.7112522570160328,-0.47063148289128764,-1.5983264613712749,0.8578252254585113
NO_HIGH_VOL,11,1656,3.9694879181719056,2.8518314361572266,1.1176565815717125,5.566913843154907,1.9256641911207766,1850.839299082756,0.5615942028985508,4,0.36363636363636365,-0.7103465208783746,-0.12335680864572679,-1.3714817282533187,-2.5655970572437643,-0.5862362629125241
NO_STRONG_MARKET_MOVE,11,1090,3.3766244800812606,2.935420513153076,0.441204003894001,4.532349109649658,1.596681788153598,480.91236424446106,0.5458715596330275,6,0.5454545454545454,1.0683742983866547,-0.8373783689864138,-1.8117869939882432,-2.490068792401625,-0.7463525253147805
